company_id,type,rule_id,text,confidence_pct
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BANKBARODA,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BEL,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BHARTIARTL,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BHEL,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BOSCHLTD,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
BOSCHLTD,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
BOSCHLTD,pro,PRO_12,Total assets have consistently increased while borrowings have declined over the last three years.,90
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BPCL,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BRITANNIA,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
CANBK,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
CIPLA,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
CIPLA,pro,PRO_12,Total assets have consistently increased while borrowings have declined over the last three years.,90
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
COALINDIA,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
DABUR,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
DABUR,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
DIVISLAB,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
DIVISLAB,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DLF,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
DLF,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
DRREDDY,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
EICHERMOT,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
EICHERMOT,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
GAIL,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
GAIL,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HAL,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HAVELLS,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
HAVELLS,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HCLTECH,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
HCLTECH,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
HCLTECH,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
HDFCBANK,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HDFCLIFE,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
HDFCLIFE,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HEROMOTOCO,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
HEROMOTOCO,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
HEROMOTOCO,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
HINDUNILVR,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ICICIBANK,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ICICIGI,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
ICICIGI,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ICICIPRULI,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
INDIGO,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
INDUSINDBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDUSINDBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
INDUSINDBK,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
INFY,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
INFY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
INFY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
INFY,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
IOC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
IOC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
IOC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
IOC,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
IRCTC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
IRCTC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
IRCTC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
IRCTC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
IRCTC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
IRCTC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
IRCTC,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
IRCTC,pro,PRO_12,Total assets have consistently increased while borrowings have declined over the last three years.,90
IRFC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
IRFC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
IRFC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
IRFC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
IRFC,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ITC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ITC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ITC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ITC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ITC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
JIOFIN,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
JIOFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
JIOFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
JSWENERGY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
JSWENERGY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
JSWENERGY,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
JSWSTEEL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
JSWSTEEL,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
KOTAKBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
KOTAKBANK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
KOTAKBANK,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
LICI,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
LICI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
LICI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
LICI,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
LICI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
LODHA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
LT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
LT,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
LT,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
LT,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
LTIM,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
LTIM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
LTIM,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
LTIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
LTIM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
LTIM,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
LTIM,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
M&M,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
MARUTI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
MARUTI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
MARUTI,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
MARUTI,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
MOTHERSON,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
MOTHERSON,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
MOTHERSON,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
NAUKRI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
NAUKRI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
NAUKRI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
NAUKRI,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
NESTLEIND,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
NESTLEIND,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
NESTLEIND,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
NESTLEIND,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
NESTLEIND,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
NHPC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
NHPC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
NHPC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
NHPC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
NTPC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
NTPC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
NTPC,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
ONGC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ONGC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ONGC,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
PFC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
PFC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
PIDILITIND,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
PIDILITIND,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
PIDILITIND,pro,PRO_12,Total assets have consistently increased while borrowings have declined over the last three years.,90
PNB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
PNB,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
POWERGRID,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
POWERGRID,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
POWERGRID,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
RECLTD,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
RECLTD,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
SBILIFE,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
SBILIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
SBILIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
SBILIFE,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
SHREECEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
SHRIRAMFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
